12-Oct-16 8:01:16 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:01:17 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:01:17 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:01:18 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:01:18 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:01:19 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:19 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:01:19 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:19 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:01:20 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:01:20 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:01:20 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:01:20 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:01:21 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:21 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:01:21 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:21 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:01:22 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:01:22 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:01:22 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:01:22 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:01:23 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:23 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:01:23 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:23 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:01:24 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:24 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:01:24 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:24 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:01:25 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:25 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:01:25 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:25 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:01:26 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:26 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:01:26 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:26 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:01:27 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:27 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:01:27 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:27 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:01:28 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:28 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:01:28 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:01:28 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:01:29 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:01:29 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:01:30 AM	 Tag: Test	 Status: High_High	Value 100
12-Oct-16 8:01:31 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:01:31 AM	 Tag: Test	 Status: High_High	Value 99.8629534754574
12-Oct-16 8:01:32 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:01:32 AM	 Tag: Test	 Status: High_High	Value 99.4521895368273
12-Oct-16 8:01:33 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:01:33 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:01:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:01:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:01:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:01:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:01:36 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:01:36 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:01:37 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:01:37 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:01:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:01:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:02:15 AM	 Tag: Test	 Status: High_High	Value 70.7106781186547
12-Oct-16 8:02:16 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:02:16 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:02:17 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:02:17 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:02:17 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:02:18 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:18 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:02:18 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:18 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:02:19 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:02:19 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:02:19 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:02:20 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:02:20 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:20 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:02:20 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:21 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:02:21 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:02:21 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:02:21 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:02:22 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:02:22 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:22 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:02:22 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:23 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:02:23 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:23 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:02:23 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:24 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:02:24 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:24 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:02:24 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:25 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:02:25 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:25 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:02:25 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:26 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:02:26 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:26 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:02:26 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:27 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:02:27 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:02:27 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
